Date,Open,High,Low,Close,Adj Close,Volume
2024-03-20,422.50,425.30,421.80,424.95,424.95,18932100
2024-03-19,421.80,424.10,421.20,423.45,423.45,16520300
2024-03-18,423.10,425.90,422.10,424.65,424.65,17605400
2024-03-15,425.50,427.30,424.20,426.15,426.15,19332100
2024-03-14,424.20,426.80,423.50,425.60,425.60,17234500
2024-03-13,423.90,424.75,422.80,423.45,423.45,16876200
2024-03-12,425.10,426.95,424.10,425.30,425.30,15654300
2024-03-11,426.20,427.80,424.50,425.15,425.15,18321100
2024-03-08,424.80,426.30,424.60,425.95,425.95,19123400
2024-03-07,426.50,428.10,425.20,427.25,427.25,17341200
2024-03-06,425.90,427.80,425.10,426.05,426.05,16765300
2024-03-05,427.30,428.90,425.80,426.50,426.50,19432100
2024-03-04,426.80,427.60,426.10,427.10,427.10,17234500
2024-03-01,425.50,426.90,425.20,426.80,426.80,19321200
2024-02-29,424.80,426.20,424.60,425.95,425.95,18123400
2024-02-28,426.10,427.90,424.50,425.45,425.45,17341200
2024-02-27,425.20,426.50,425.10,425.85,425.85,16765300
2024-02-26,424.90,425.80,424.50,425.30,425.30,15876200
2024-02-23,426.50,427.90,424.80,425.25,425.25,17234500
2024-02-22,425.80,427.10,425.60,426.90,426.90,19321200
2024-02-21,424.50,425.95,424.20,425.65,425.65,18123400
2024-02-20,425.90,426.80,424.80,425.45,425.45,17341200
2024-02-16,426.20,427.30,425.80,427.10,427.10,19432100
2024-02-15,425.50,426.60,425.20,426.30,426.30,17234500
2024-02-14,424.80,426.20,424.50,425.95,425.95,16765300
2024-02-13,426.50,427.90,424.80,425.25,425.25,15876200
