Date,Open,High,Low,Close,Adj Close,Volume
2024-03-20,189.50,192.80,187.90,191.25,191.25,65432100
2024-03-19,187.80,191.10,187.50,190.75,190.75,58920300
2024-03-18,191.10,193.90,188.20,190.95,190.95,62105400
2024-03-15,192.50,194.30,189.90,191.45,191.45,68932100
2024-03-14,191.20,192.80,189.50,192.60,192.60,61234500
2024-03-13,190.90,191.75,188.80,190.45,190.45,59876200
2024-03-12,192.10,192.95,190.10,191.30,191.30,57654300
2024-03-11,193.20,195.80,190.50,192.15,192.15,60321100
2024-03-08,191.80,193.30,191.60,192.95,192.95,64123400
2024-03-07,193.50,196.10,191.20,195.25,195.25,62341200
2024-03-06,192.90,195.80,192.10,195.05,195.05,58765300
2024-03-05,194.30,196.90,191.80,195.50,195.50,65432100
2024-03-04,193.80,194.60,193.10,194.10,194.10,61234500
2024-03-01,192.50,193.90,191.20,193.80,193.80,64321200
2024-02-29,191.80,193.20,191.60,192.95,192.95,60123400
2024-02-28,193.10,195.90,190.50,192.45,192.45,62341200
2024-02-27,192.20,193.50,191.10,192.85,192.85,58765300
2024-02-26,191.90,192.80,191.50,192.30,192.30,59876200
2024-02-23,193.50,195.90,190.80,192.25,192.25,61234500
2024-02-22,192.80,194.10,191.60,193.90,193.90,64321200
2024-02-21,191.50,192.95,190.20,192.65,192.65,60123400
2024-02-20,192.90,193.80,191.80,192.45,192.45,62341200
2024-02-16,193.20,194.30,192.80,194.10,194.10,65432100
2024-02-15,192.50,193.60,192.20,193.30,193.30,61234500
2024-02-14,191.80,193.20,191.50,192.95,192.95,58765300
2024-02-13,193.50,195.90,190.80,192.25,192.25,59876200
